100 Largest Cities,Census 2019 Population,Agency,State,ORI,Primary Law Enforcement Agency,UCR Population,Police Shootings Source Data Link(s),Arrests Source,Police Shootings Incidents 2013,Police Shootings Incidents 2014,Police Shootings Incidents 2015,Police Shootings Incidents 2016,Police Shootings Incidents 2017,Police Shootings Incidents 2018,Police Shootings Incidents 2019,Police Shootings Incidents 2020,Total Reported Crimes 2013,Total Reported Crimes 2019,Reported Violent Crimes 2013,Reported Violent Crimes 2019,2013 Violent Crime Arrests,2013 Low Level Arrests,2013 Total Arrests,2019 Violent Crime Arrests,2019 Low Level Arrests,2019 Total Arrests,Change in Police Shootings,Change in Violent Crime Arrests,Change in Low Level Arrests,Change in Arrests,Change in Violent Crime,Change in Crime,2013 Aggravated Assault,2013 All Other Offenses (Except Traffic),2013 Arson,2013 Burglary,2013 Curfew and Loitering Law Violations,2013 Disorderly Conduct,2013 Driving Under the Influence,2013 Drug Abuse Violations - Grand Total,2013 Drunkenness,2013 Embezzlement,2013 Forgery and Counterfeiting,2013 Fraud,2013 Gambling - Total,2013 Human Trafficking - Commercial Sex Acts,2013 Human Trafficking - Involuntary Servitude,2013 Larceny - Theft,2013 Liquor Laws,2013 Manslaughter by Negligence,2013 Motor Vehicle Theft,2013 Murder and Nonnegligent Manslaughter,2013 Offenses Against the Family and Children,2013 Prostitution and Commercialized Vice,2013 Rape,2013 Robbery,"2013 Sex Offenses (Except Rape, and Prostitution and Commercialized Vice)",2013 Simple Assault,"2013 Stolen Property: Buying, Receiving, Possessing",2013 Suspicion,2013 Vagrancy,2013 Vandalism,"2013 Weapons: Carrying, Possessing, Etc.",2019 Aggravated Assault,2019 All Other Offenses (Except Traffic),2019 Arson,2019 Burglary,2019 Curfew and Loitering Law Violations,2019 Disorderly Conduct,2019 Driving Under the Influence,2019 Drug Abuse Violations - Grand Total,2019 Drunkenness,2019 Embezzlement,2019 Forgery and Counterfeiting,2019 Fraud,2019 Gambling - Total,2019 Human Trafficking - Commercial Sex Acts,2019 Human Trafficking - Involuntary Servitude,2019 Larceny - Theft,2019 Liquor Laws,2019 Manslaughter by Negligence,2019 Motor Vehicle Theft,2019 Murder and Nonnegligent Manslaughter,2019 Offenses Against the Family and Children,2019 Prostitution and Commercialized Vice,2019 Rape,2019 Robbery,"2019 Sex Offenses (Except Rape, and Prostitution and Commercialized Vice)",2019 Simple Assault,"2019 Stolen Property: Buying, Receiving, Possessing",2019 Suspicion,2019 Vagrancy,2019 Vandalism,"2019 Weapons: Carrying, Possessing, Etc."
Jacksonville,890467,JACKSONVILLE,FL,FL0160200,JACKSONVILLE CITY CNTY POLICE DEPARTMENT,903213,2013-15: https://news.vice.com/en_us/article/a3jjpa/nonfatal-police-shootings-data (Standardized Jacksonville data: https://docs.google.com/spreadsheets/d/1MTAcuZCky9X3KKe5IRUHOhgoEN9UXPPlxAUE7Yq3Vmo/edit#gid=565673480 ) ; 2016-20: http://transparency.jaxsheriff.org/OIS,FDLE Data: https://www.fdle.state.fl.us/FSAC/Data-Statistics/UCR-Arrest-Data.aspx,7,9,11,12,10,6,11,16,50258,47366,5246,5886,1394,14831,25922,1404,19125,29410,57%,1%,29%,13%,12%,-6%,942,9118,8,635,,,1602,3245,,153,20,917,4,,,3668,309,4,157,36,,217,136,280,206,3532,154,,,336,243,1005,11076,26,549,0,0,1515,5502,0,105,97,645,0,0,0,2546,562,11,346,73,0,139,16,310,220,3827,62,0,0,331,447
Columbus,878553,COLUMBUS,OH,OHCOP0000,COLUMBUS POLICE DEPARTMENT,892576,https://www.columbus.gov/WorkArea/DownloadAsset.aspx?id=2147520462 ; https://www.columbus.gov/WorkArea/DownloadAsset.aspx?id=84544 ;17 shootings through 12/22/2020: https://abc6onyourside.com/news/local/ginther-pettus-discuss-deadly-police-shooting-12-22-20,2013-19 UCR Data (https://crime-data-explorer.fr.cloud.gov/pages/explorer/crime/arrest),22,9,16,15,13,16,12,17,64280,52087,4446,4561,612,7900,12745,654,6716,11453,-45%,7%,-15%,-10%,3%,-19%,190,4904,1,393,20,404,326,1117,0,0,148,40,0,0,0,526,93,0,127,29,37,914,45,348,50,2415,93,0,0,122,403,356,5190,1,264,5,237,48,917,123,0,17,91,0,0,0,418,90,0,173,34,4,40,27,237,10,2360,164,0,0,66,581
San Francisco,874961,SAN FRANCISCO,CA,CA0380100,SAN FRANCISCO POLICE DEPARTMENT,889282,https://www.sanfranciscopolice.org/your-sfpd/published-reports/officer-involved-shootings-ois-historical-data,2013-19 UCR Data (https://crime-data-explorer.fr.cloud.gov/pages/explorer/crime/arrest),8,8,9,3,6,5,3,4,61078,60139,7064,5933,2004,12014,17451,1907,9054,14337,-63%,-5%,-25%,-18%,-16%,-2%,1461,7522,28,631,0,25,505,1524,1720,8,84,56,1,0,0,706,52,7,185,29,4,295,18,496,69,1208,232,0,68,302,215,1498,6785,41,464,0,15,310,933,325,1,24,34,0,0,0,566,16,6,206,34,2,161,27,348,77,1534,128,0,106,403,293
Fort Worth,874401,FORT WORTH,TX,TX2201200,FORT WORTH POLICE DEPARTMENT,893756,https://www.muckrock.com/foi/fort-worth-330/police-shootings-data-fort-worth-police-department-71429/#file-782397 ; Fort Worth Police chief stated that there were 9 police shootings in 2019: https://www.star-telegram.com/news/local/fort-worth/article238919203.html,2013-19 UCR Data (https://crime-data-explorer.fr.cloud.gov/pages/explorer/crime/arrest),8,6,11,11,8,9,9,,47082,36829,4440,4068,1315,20057,32694,1344,7735,16564,13%,2%,-61%,-49%,-8%,-22%,747,8211,32,615,397,1446,1470,3552,3265,13,161,319,16,0,0,5256,1056,2,176,43,27,142,113,412,78,4241,1,0,226,276,401,817,2782,28,407,27,224,807,2578,681,0,82,237,63,1,2,2384,55,5,359,62,10,211,148,317,84,3399,1,0,51,256,486
Indianapolis,864447,INDIANAPOLIS,IN,INIPD0000,INDIANAPOLIS POLICE DEPARTMENT,877584,2013-14: https://news.vice.com/en_us/article/a3jjpa/nonfatal-police-shootings-data (Standardized Indianapolis data: https://docs.google.com/spreadsheets/d/1T-HLY70Xu9EqfaCAKJDIub-fA4pIu81yeNiEs7G25QQ/edit#gid=2127370753 ) ; 2015-20: https://www.indy.gov/activity/officer-involved-shootings,2013-19 UCR Data (https://crime-data-explorer.fr.cloud.gov/pages/explorer/crime/arrest),8,18,20,16,8,4,6,7,,,,,2437,22997,39493,1570,20669,29624,-25%,-36%,-10%,-25%,,,1775,14732,39,737,27,1700,1872,0,3218,119,195,196,70,0,0,5069,269,0,504,100,104,641,83,479,384,5958,2,0,3,465,752,1100,13671,15,314,4,871,1755,3306,863,64,60,199,22,0,0,2101,11,1,403,37,38,68,66,367,58,3224,134,0,8,90,774
Charlotte,857425,CHARLOTTE-MECKLENBURG,NC,NC0600100,CHARLOTTE - MECKLENBURG POLICE DEPARTMENT,931235,https://data.charlottenc.gov/datasets/cmpd-officer-involved-shootings-incidents-1/data?orderBy=YEAR_MONTH&orderByAsc=false,2013-19 UCR Data (https://crime-data-explorer.fr.cloud.gov/pages/explorer/crime/arrest),5,7,5,12,5,5,6,1,49181,57113,5093,6982,2218,10636,19087,3019,9516,21670,20%,36%,-11%,14%,37%,16%,1389,5951,65,892,0,465,1231,2474,0,119,158,334,14,0,0,1730,144,17,112,35,6,74,49,745,151,1770,389,0,0,283,490,2011,5435,35,769,12,84,719,2752,51,146,47,181,3,0,0,2974,35,0,383,98,273,11,34,876,78,3082,667,0,1,413,500
Seattle,724305,SEATTLE,WA,WASPD0000,SEATTLE POLICE DEPARTMENT,742759,https://www.seattle.gov/police/information-and-data/use-of-force-data/officer-involved-shootings-dashboard ; https://data.seattle.gov/Public-Safety/Use-Of-Force/ppi5-g2bj,2013-19 UCR Data (https://crime-data-explorer.fr.cloud.gov/pages/explorer/crime/arrest),7,9,4,4,6,2,5,4,46987,47100,3760,4471,1421,7561,15100,1066,5112,10566,-29%,-25%,-32%,-30%,19%,0%,943,5007,9,525,0,27,1039,880,0,37,18,114,0,0,0,2578,40,2,184,3,55,117,24,451,33,2208,119,0,20,431,236,696,2664,16,456,0,50,1303,650,0,5,11,56,0,5,0,1084,5,0,107,13,11,108,38,319,24,2136,265,0,13,319,212
Denver,705576,DENVER,CO,CODPD0000,DENVER POLICE DEPARTMENT,720745,2013-16: https://www.denvergov.org/content/dam/denvergov/Portals/374/documents/2017AnnualReport_OIM.pdf ; 2016-20: https://www.denvergov.org/files/assets/public/independent-monitor/documents/2020annualreport_oim.pdf,2013-19 UCR Data (https://crime-data-explorer.fr.cloud.gov/pages/explorer/crime/arrest),9,6,10,12,6,8,10,11,32776,39381,4093,5459,1617,13747,22343,2304,15242,26619,11%,42%,11%,19%,33%,20%,1057,5447,7,731,94,970,1629,2464,0,13,57,171,3,0,0,2480,2432,1,373,27,166,69,113,420,136,2405,62,0,8,631,377,1753,6971,16,490,201,765,1298,3676,0,0,142,284,12,0,0,2550,1046,0,903,46,111,240,95,410,96,3536,133,0,59,974,812
Washington,692683,WASHINGTON,DC,DCMPD0000,WASHINGTON METROPOLITAN POLICE DEPARTMENT,702455,2013-14 data on page 34: https://mpdc.dc.gov/sites/default/files/dc/sites/mpdc/publication/attachments/MPD%20Annual%20Report%202014_lowres_0.pdf ; 2015-20 data on page 29: https://policecomplaints.dc.gov/sites/default/files/dc/sites/office%20of%20police%20complaints/publication/attachments/Final%20UOF%202020%20Report.pdf,Local Data (Did not report to UCR): https://mpdc.dc.gov/node/1379551,16,9,15,10,10,3,8,9,49497,51007,7880,6896,3187,16269,28924,1645,11894,23799,-50%,-48%,-27%,-18%,-12%,3%,2363,6427,3,243,,890,1311,4540,,,,518,136,,,2157,1530,,34,75,179,847,90,659,209,5659,,,,588,466,1190,5471,4,146,,352,1305,2286,,,,129,38,,,2288,478,,115,88,367,1273,48,319,172,5917,,,,691,1122
Boston,684379,BOSTON,MA,MA0130100,BOSTON POLICE DEPARTMENT,694673,,2013-19 UCR Data (https://crime-data-explorer.fr.cloud.gov/pages/explorer/crime/arrest),,,,,,,,,30427,25610,5037,4244,2799,4813,12716,1875,2205,7214,,-33%,-54%,-43%,-16%,-16%,2201,762,2,516,0,823,257,2486,0,1,44,112,0,0,0,1788,16,2,103,24,1,152,42,532,108,1810,279,0,0,317,338,1509,465,3,297,0,224,108,1203,0,2,25,60,0,0,1,773,4,3,30,11,1,27,32,323,77,1383,119,0,0,174,360
El Paso,679813,EL PASO,TX,TX0710200,EL PASO POLICE DEPARTMENT,688442,http://raw.texastribune.org.s3.amazonaws.com/projects/unholstered/TexasTribune_PoliceShootings.zip ; https://texasjusticeinitiative.org/,2013-19 UCR Data (https://crime-data-explorer.fr.cloud.gov/pages/explorer/crime/arrest),3,1,6,3,2,2,5,3,25795,19039,2522,2422,932,11193,20469,751,10314,15902,67%,-19%,-8%,-22%,-4%,-26%,629,1699,5,499,494,236,2709,3697,868,70,68,256,0,0,0,3727,1119,0,34,10,108,20,58,235,32,3414,0,0,0,351,131,501,1530,1,313,244,13,3069,3905,686,32,75,137,0,0,0,1400,594,0,39,10,55,27,48,192,11,2576,0,0,16,230,198
Detroit,674841,DETROIT,MI,MI8234900,DETROIT POLICE DEPARTMENT,671275,https://www.muckrock.com/foi/detroit-314/boston-data-detroit-police-department-86773/ ; https://detroitmi.gov/sites/detroitmi.localhost/files/2021-01/2020%20Year%20End%20Stats.pdf,2013-19 UCR Data (https://crime-data-explorer.fr.cloud.gov/pages/explorer/crime/arrest),22,18,15,10,20,7,9,16,72880,61073,14501,13040,2712,6327,14737,3043,3602,11930,-59%,12%,-43%,-19%,-10%,-16%,1822,2461,46,905,10,516,479,2512,0,7,29,65,1,0,0,521,4,0,505,107,22,13,86,697,25,1843,148,0,93,238,1582,2447,1374,57,336,0,271,657,787,1,23,55,230,2,0,0,510,6,3,146,177,46,97,68,351,51,1556,637,0,1,406,1635
Nashville,663750,NASHVILLE METROPOLITAN,TN,TN0190100,NASHVILLE METRO POLICE DEPARTMENT,686492,,2013-19 UCR Data (https://crime-data-explorer.fr.cloud.gov/pages/explorer/crime/arrest),,,,,,,,,47824,49751,6667,7376,5695,37866,51672,2022,14424,23515,,-64%,-62%,-54%,11%,4%,5135,18315,25,560,708,1075,2635,10092,3444,0,244,567,118,0,0,4208,227,0,103,129,7,651,30,401,50,1914,3,0,1,600,430,1587,7776,9,451,235,462,860,2433,1511,1,54,225,6,5,0,2458,183,3,263,86,253,155,26,323,26,3008,3,0,0,803,310
Memphis,651932,MEMPHIS,TN,TNMPD0000,MEMPHIS POLICE DEPARTMENT,652226,https://reimagine.memphistn.gov/isb-dashboard/response-to-resistance/ ; https://docs.google.com/spreadsheets/d/1p5Y_8wpmKNBkrzB2De8sARw87GsL0srBXTTVMOax4WY/edit#gid=74455253,2013-19 UCR Data (https://crime-data-explorer.fr.cloud.gov/pages/explorer/crime/arrest),13,9,11,9,4,8,8,2,80766,76120,10890,12367,2434,30109,47866,2752,16084,30975,-38%,13%,-47%,-35%,14%,-6%,1519,15039,18,1252,535,4094,1120,5539,402,72,267,391,117,0,0,4951,2190,3,261,84,6,449,83,748,113,6871,198,0,5,619,920,1929,10544,26,719,184,930,510,2818,172,161,207,202,9,1,0,3561,305,9,755,94,10,155,117,612,82,5408,439,0,1,456,559
Portland,645291,PORTLAND,OR,OR0260200,PORTLAND POLICE BUREAU,657260,https://www.portlandoregon.gov/police/76940,2014-2019 UCR Data (https://crime-data-explorer.fr.cloud.gov/pages/explorer/crime/arrest) (Did Not Report 2013 UCR Data (https://crime-data-explorer.fr.cloud.gov/pages/explorer/crime/arrest)),2,4,6,2,6,6,6,2,36820,44829,2941,3606,,,,955,13626,20311,200%,,,,23%,22%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,671,9954,67,297,1,912,934,1047,0,16,101,183,0,1,0,2180,130,6,558,15,9,38,20,249,17,1913,100,0,0,610,282
Oklahoma City,643692,OKLAHOMA CITY,OK,OK0550600,OKLAHOMA CITY POLICE DEPARTMENT,652936,https://www.muckrock.com/foi/oklahoma-city-341/police-shootings-data-46860/ ; https://www.oklahoman.com/article/5618764/oklahoma-city-police-shootings-highest-since-2014-but-fatalities-down-from-last-year ; 2019: https://www.readfrontier.org/special-projects/shot-by-shot-oklahoma-officer-involved-shootings-in-2019/ ; 2020: https://www.readfrontier.org/special-projects/shot-by-shot-oklahoma-officer-involved-shootings-in-2020/,2013-19 UCR Data (https://crime-data-explorer.fr.cloud.gov/pages/explorer/crime/arrest),9,14,10,7,8,12,11,7,41999,37078,4998,4751,1430,10729,19330,1128,8258,15825,22%,-21%,-23%,-18%,-5%,-12%,1081,1940,73,395,115,648,1977,3393,1846,54,186,316,1,0,0,3196,390,1,87,48,133,124,57,244,145,1263,977,0,0,295,345,840,2460,29,406,13,413,1500,2455,911,59,121,220,5,1,0,2525,112,3,460,47,87,31,41,200,39,1370,499,0,11,347,620
Las Vegas,634773,LAS VEGAS METRO PD,NV,NV0020100,LAS VEGAS METRO POLICE DEPARTMENT,1644390,https://www.lvmpd.com/en-us/InternalOversightConstitutionalPolicing/Documents/UOF-and-Vehicle-Pursuit-Annual-5-Year-Statistical-Report-2014-2018.pdf ; https://www.lvmpd.com/en-us/Pages/Press-Releases.aspx?Paged=TRUE&p_SortBehavior=0&p_Release_x0020_Date=20191128%2008%3a00%3a00&p_PR_x0020_Number=191100131084&p_ID=4049&PageFirstRow=51&&View={CDF99834-A1B4-4BCE-B1EC-BD78FCFDCDE7},2013-19 UCR Data (https://crime-data-explorer.fr.cloud.gov/pages/explorer/crime/arrest),13,16,16,10,22,22,16,19,81989,86351,11374,8854,3997,51742,78230,3859,58486,87482,23%,-3%,13%,12%,-22%,5%,2580,27290,11,1190,708,675,5755,7887,0,269,592,830,2,0,0,6761,3203,9,383,81,213,3427,133,1203,822,9443,889,0,1817,978,1079,2596,37708,23,1819,179,751,4845,7117,0,174,324,1261,0,16,3,3448,884,1,228,72,168,2927,310,881,891,14146,1192,0,3157,918,1443
